 (cabinet)
" Churchill, W (cabinet)"
"Jarpa Reyes, Sergio O. (frus)"
"Jarrett, Valerie (clinton)"
"Jarriel, Thomas (clinton)"
"Jarriel, Thomas (kissinger)"
"Jarring, Gunar; Jarring, Gunnar; Jarring, Gunnar V. (clinton)"
"Jarring, Gunnar V. (briefing)"
"Jarring, Gunnar V. (frus)"
"Jaruzelski, Wojciech (briefing)"
"Jaruzelski, Wojciech (clinton)"
"Jaruzelski, Wojciech (frus)"
"Jarvie, Basil J. (frus)"
"Jarvis, Francis G. (clinton)"
"Jarvis, Francis Girard (frus)"
"Jarvis, Thomas Jordan (briefing)"
"Jarvis, Thomas Jordan (frus)"
"Jasculca, Rick (clinton)"
"Jasso-Rotunno, Cynthia (clinton)"
"Javits, Eric M. (briefing)"
"Javits, Eric M. (frus)"
"Javits, Jacob Koppel (briefing)"
"Javits, Jacob Koppel (frus)"
"Javits, Jacob; Javits, Jacob A.; Javits, Jacob K.; Javits, Jacob Koppel; Javits, Jacob L. (clinton)"
"Javits, Jacob; Javits, Jacob A.; Javits, Jacob K.; Javits, Jacob Koppel; Javits, Jacob L. (kissinger)"
"Jawad, Hashim (clinton)"
"Jawad, Hashim (frus)"
"Jawara, Dawda Kairaba (briefing)"
"Jawara, Dawda Kairaba (frus)"
"Jawat, Ali El-Ayubi (clinton)"
"Jawdat, al-Ayyubi (clinton)"
"Jaworski, Leon (briefing)"
"Jaworski, Leon (clinton)"
"Jaworski, Leon (frus)"
"Jay, D (cabinet)"
"Jay, John (briefing)"
"Jay, John (cpdoc)"
"Jay, John (frus)"
"Jay, John, II (briefing)"
"Jay, John, II (frus)"
"Jay, Peter (briefing)"
"Jay, Peter (clinton)"
"Jay, Peter (cpdoc)"
"Jay, Peter (frus)"
"Jay, Peter Augustus (briefing)"
"Jay, Peter Augustus (frus)"
"Jayakody, Lakshman (briefing)"
"Jayakody, Lakshman (clinton)"
"Jayakody, Lakshman (frus)"
"Jayawardene, Junius Richard (briefing)"
"Jayawardene, Junius Richard (clinton)"
"Jayawardene, Junius Richard (frus)"
"Jayne, Edward R., II; Jayne, Edward Randy; Jayne, Randy (clinton)"
"Jayne, Edward Randy, II (briefing)"
"Jayne, Edward Randy, II (frus)"
Jean (briefing)
Jean (clinton)
Jean (frus)
"Jean-Bokassa, Bedel (cpdoc)"
"Jean-Deniau, François (cpdoc)"
"Jean-Fourcade, Pierre (cpdoc)"
"Jebb, G (cabinet)"
"Jebb, Hubert Miles Gladwyn (briefing)"
"Jebb, Hubert Miles Gladwyn (frus)"
"Jebb, Sir Gladwyn Hubert Miles; Jebb, Sir H. M. G.; Jebb, Sir H. M. Gladwyn; Jebb, Sir Hubert M.G.; Jebb, Sir Hubert Miles Gladwyn (clinton)"
"Jedrychowski, Stefan (briefing)"
"Jedrychowski, Stefan (clinton)"
"Jedrychowski, Stefan (frus)"
"Jeffers, William N. (briefing)"
"Jeffers, William N. (frus)"
"Jefferson, Benjamin Lafayette (briefing)"
"Jefferson, Benjamin Lafayette (frus)"
"Jefferson, Thomas (briefing)"
"Jefferson, Thomas (cpdoc)"
"Jefferson, Thomas (frus)"
"Jeffery, Reuben, III (briefing)"
"Jeffery, Reuben, III (frus)"
"Jeffery, Robert Emmett (briefing)"
"Jeffery, Robert Emmett (frus)"
"Jeffrey, H. P. (cpdoc)"
"Jeffrey, H. P. (frus)"
"Jeffrey, James (clinton)"
"Jeffrey, James Franklin (briefing)"
"Jeffrey, James Franklin (frus)"
Jellicoe (cabinet)
"Jellicoe, George Patrick John Rushworth (briefing)"
"Jellicoe, George Patrick John Rushworth (frus)"
"Jellicoe, J (cabinet)"
"Jellicoe, John Rushworth (briefing)"
"Jellicoe, John Rushworth (frus)"
Jemal (frus)
"Jendretzky, Hans (briefing)"
"Jendretzky, Hans (frus)"
"Jenifer, Daniel (briefing)"
"Jenifer, Daniel (frus)"
"Jenkin, P (cabinet)"
"Jenkins, A (cabinet)"
"Jenkins, Alfred L. (clinton)"
"Jenkins, Alfred LeS. (clinton)"
"Jenkins, Alfred le Sesne (briefing)"
"Jenkins, Alfred le Sesne (frus)"
"Jenkins, C. Ray (frus)"
"Jenkins, Douglas (frus)"
"Jenkins, Kempton B. (frus)"
"Jenkins, Kempton; Jenkins, Kempton B. (clinton)"
"Jenkins, R (cabinet)"
"Jenkins, Reuben E. (briefing)"
"Jenkins, Reuben E. (frus)"
"Jenkins, Roy (clinton)"
"Jenkins, Roy H. (briefing)"
"Jenkins, Roy H. (cpdoc)"
"Jenkins, Roy H. (frus)"
"Jenkins, Roy; Jenkins, Roy H. (clinton)"
"Jenkins, Thomas Gilmour (briefing)"
"Jenkins, Thomas Gilmour (frus)"
"Jenkins, Walter E., Jr. (frus)"
"Jenkins, Walter E.; Jenkins, Alfred Le S.; Jenkins, Alfred LeS.; Jenkins, Alfred le S.; Jenkins, Alfred le Sesne; Jenkins, Alfred leS.; Jenkins, Alfred leSesne (clinton)"
"Jenkins, Walter W. (briefing)"
"Jenkins, Walter W. (frus)"
"Jenkins, Walter; Jenkins, Walter W. (clinton)"
"Jenkinson, Kelli (clinton)"
"Jenner, William E. (briefing)"
"Jenner, William E. (clinton)"
"Jenner, William E. (frus)"
"Jennette, William (frus)"
"Jennings, Benjamin B.; Jennings, Brewster (clinton)"
"Jennings, Benjamin Brewster (briefing)"
"Jennings, Benjamin Brewster (frus)"
"Jennings, Chris (clinton)"
"Jennings, Monika (clinton)"
"Jennings, Peter (briefing)"
"Jennings, Peter (frus)"
"Jennings, Richard M. (frus)"
"Jentelson, Barbara (clinton)"
"Jentleson, Adam (clinton)"
"Jentleson, Bruce (clinton)"
"Jeong, Da-Woon (clinton)"
"Jernegan, John Durnford (briefing)"
"Jernegan, John Durnford (frus)"
"Jernegan, John; Jernegan, John D. (clinton)"
"Jerram, Cecil Bertram (frus)"
"Jerred, W (cabinet)"
"Jessup, Henry Harris (briefing)"
"Jessup, Henry Harris (frus)"
"Jessup, John (frus)"
"Jessup, Peter (briefing)"
"Jessup, Peter (clinton)"
"Jessup, Peter (frus)"
"Jessup, Philip C. (clinton)"
"Jessup, Philip Caryl (briefing)"
"Jessup, Philip Caryl (frus)"
"Jester, Christopher (clinton)"
"Jesús Paz, Hipólito (cpdoc)"
"Jeter, Howard Franklin (briefing)"
"Jeter, Howard Franklin (frus)"
"Jett, Dennis Coleman (briefing)"
"Jett, Dennis Coleman (frus)"
"Jewell, Linda (frus)"
"Jewell, Marshall (briefing)"
"Jewell, Marshall (frus)"
"Jewett, Albert Gallatin (briefing)"
"Jewett, Albert Gallatin (frus)"
"Jewett, F (cabinet)"
"Jha, Bhola N. (briefing)"
"Jha, Bhola N. (clinton)"
"Jha, Bhola N. (frus)"
"Jha, C. S. (clinton)"
"Jha, Chandra Shekhar (briefing)"
"Jha, Chandra Shekhar (frus)"
"Jha, Lakshmi Kant (briefing)"
"Jha, Lakshmi Kant (clinton)"
"Jha, Lakshmi Kant (frus)"
Ji Chaozhu (briefing)
Ji Chaozhu (clinton)
Ji Chaozhu (frus)
Ji Pengfei (Chi P'eng-fei) (clinton)
Ji Pengfei (briefing)
Ji Pengfei (frus)
"Jiabo, Wen (clinton)"
Jiang Jieshi (Chiang Kai-shek) (clinton)
"Jiang Jieshi, Madame (Madame Chiang Kai-shek) (clinton)"
Jiang Jingguo (Chiang Ching-kuo) (clinton)
Jiang Qing (Chiang Ching) (clinton)
Jiang Qing (briefing)
Jiang Qing (frus)
Jiang Zemin (briefing)
Jiang Zemin (frus)
"Jibril, Ahmad (briefing)"
"Jibril, Ahmad (frus)"
"Jilotv Lauren C, Luzzatto (clinton)"
"Jiloty, Lauren (clinton)"
"Jim Yong, Kim (clinton)"
"Jimenez, Luis (clinton)"
"Jiminez, Privado G. (clinton)"
"Jiminez, Privado G. (frus)"
"Jiménez, Ramón Emilio, Jr. (frus)"
Jira Vichitsonggram (frus)
"Jira Vichitsonggram, General (clinton)"
Joan of Arc (briefing)
Joan of Arc (frus)
"Joaquim, Antônio (cpdoc)"
"Jobert, Michel (briefing)"
"Jobert, Michel (clinton)"
"Jobert, Michel (cpdoc)"
"Jobert, Michel (frus)"
"Jobim, Danton (cpdoc)"
"Jobim, José (cpdoc)"
"Joffe-Walt, Benjamin (clinton)"
"Joffre, Joseph Jacques CÃ©saire (briefing)"
"Joffre, Joseph Jacques Césaire (frus)"
Jogkakarta (frus)
"Johanes, Jaromir (briefing)"
"Johanes, Jaromir (frus)"
"Johanson, John R. (frus)"
"John Jova, Joseph (cpdoc)"
John Paul I (briefing)
John Paul I (frus)
John Paul II (briefing)
John Paul II (frus)
"John, B (cabinet)"
"John, C (cabinet)"
"John, Eric (clinton)"
"John, Eric G. (briefing)"
"John, Eric G. (cpdoc)"
"John, Eric G. (frus)"
"John, Otto (briefing)"
"John, Otto (clinton)"
"John, Otto (frus)"
"John, W (cabinet)"
"Johnpoll, Alexander C. (clinton)"
"Johnpoll, Alexander C. (frus)"
"Johnson Cook, Suzan (clinton)"
"Johnson, A. M. Ade (frus)"
"Johnson, Andrew (briefing)"
"Johnson, Andrew (clinton)"
"Johnson, Andrew (cpdoc)"
"Johnson, Andrew (frus)"
"Johnson, B (cabinet)"
"Johnson, Brenda LaGrange (briefing)"
"Johnson, Brenda LaGrange (frus)"
"Johnson, Briard P. (frus)"
"Johnson, Brock (clinton)"
"Johnson, Carl Hugo (frus)"
"Johnson, Charles E. (briefing)"
"Johnson, Charles E. (frus)"
"Johnson, Charles E., III (frus)"
"Johnson, Charles E.; Johnson, Robert H. (clinton)"
"Johnson, Charles e. (cpdoc)"
"Johnson, Chris (clinton)"
"Johnson, Clifton (clinton)"
"Johnson, Cone (frus)"
"Johnson, Daniel A. (briefing)"
"Johnson, Daniel A. (frus)"
"Johnson, Dann (clinton)"
"Johnson, Darin (clinton)"
"Johnson, Darryl N. (clinton)"
"Johnson, Darryl Norman (briefing)"
"Johnson, Darryl Norman (frus)"
"Johnson, David (clinton)"
"Johnson, David M. (frus)"
"Johnson, David M.; Johnson, Joseph E. (clinton)"
"Johnson, David S. (briefing)"
"Johnson, David S. (frus)"
"Johnson, David Timothy (briefing)"
"Johnson, David Timothy (frus)"
"Johnson, Donald (clinton)"
"Johnson, Donald (frus)"
"Johnson, Donald C. (briefing)"
"Johnson, Donald C. (frus)"
"Johnson, Douglas V. (frus)"
"Johnson, Earl D. (briefing)"
"Johnson, Earl D. (frus)"
"Johnson, Earl D.; Johnson, Louis (clinton)"
"Johnson, Edward E. (briefing)"
"Johnson, Edward E. (clinton)"
"Johnson, Edward E. (frus)"
"Johnson, Eric (clinton)"
"Johnson, G. Griffith (frus)"
"Johnson, G. Griffith; Johnson, Peter B.; Johnson, Stephen T. (clinton)"
"Johnson, Gen. Harold K.; Johnson, General Harold; Johnson, General Harold K. (clinton)"
"Johnson, George H. (frus)"
"Johnson, Gerald W. (briefing)"
"Johnson, Gerald W. (frus)"
"Johnson, Gove Griffith, Jr. (frus)"
"Johnson, Gregory L. (frus)"
"Johnson, Hallett (briefing)"
"Johnson, Hallett (frus)"
"Johnson, Hannah (clinton)"
"Johnson, Harold K. (briefing)"
"Johnson, Harold K. (frus)"
"Johnson, Henry P. (frus)"
"Johnson, Herschel V.; Johnson, U. Alexis; Johnson, U. Alexis.; Johnson, Ural Alexis (clinton)"
"Johnson, Herschel Vespasian, II (briefing)"
"Johnson, Herschel Vespasian, II (frus)"
"Johnson, Hiram W. (briefing)"
"Johnson, Hiram W. (frus)"
"Johnson, James (briefing)"
"Johnson, James (cpdoc)"
"Johnson, James (frus)"
"Johnson, James Paul (Jim) (briefing)"
"Johnson, James Paul (Jim) (clinton)"
"Johnson, James Paul (Jim) (frus)"
"Johnson, Jeh (clinton)"
"Johnson, Jesse C. (frus)"
"Johnson, Joel (clinton)"
"Johnson, Joel L. (frus)"
"Johnson, John A. (clinton)"
"Johnson, John A. (frus)"
"Johnson, Joseph E. (briefing)"
"Johnson, Joseph E. (clinton)"
"Johnson, Joseph E. (frus)"
"Johnson, Joseph Lowery (briefing)"
"Johnson, Joseph Lowery (frus)"
"Johnson, Karen (clinton)"
"Johnson, Louis (briefing)"
"Johnson, Louis (frus)"
"Johnson, Lyndon B. (cpdoc)"
"Johnson, Lyndon B.; Johnson, Lyndon Baines; Johnson, Senator Lyndon B. (clinton)"
"Johnson, Lyndon Baines (briefing)"
"Johnson, Lyndon Baines (cpdoc)"
"Johnson, Lyndon Baines (frus)"
"Johnson, Major General Briard P. (clinton)"
"Johnson, Major General Charles E., III (clinton)"
"Johnson, Major General Douglas V. (clinton)"
"Johnson, Marilyn Priscilla (briefing)"
"Johnson, Marilyn Priscilla (frus)"
"Johnson, Mark (clinton)"
"Johnson, Mark (frus)"
"Johnson, Michelle (clinton)"
"Johnson, Nels C. (frus)"
"Johnson, Nels C.; Johnson, Vice Admiral Nels C. (clinton)"
"Johnson, Nelson Trusler (briefing)"
"Johnson, Nelson Trusler (frus)"
"Johnson, Peter B. (briefing)"
"Johnson, Peter B. (frus)"
"Johnson, Philip K. (frus)"
"Johnson, Rachel (clinton)"
"Johnson, Ralph R. (frus)"
"Johnson, Reverdy (briefing)"
"Johnson, Reverdy (frus)"
"Johnson, Richard (clinton)"
"Johnson, Richard E. (frus)"
"Johnson, Richard G. (cpdoc)"
"Johnson, Richard G. (frus)"
"Johnson, Richard e. (cpdoc)"
"Johnson, Robert H. (frus)"
"Johnson, Robert L. (briefing)"
"Johnson, Robert L. (clinton)"
"Johnson, Robert L. (frus)"
"Johnson, Robert Underwood (briefing)"
"Johnson, Robert Underwood (frus)"
"Johnson, Roy W. (briefing)"
"Johnson, Roy W. (frus)"
"Johnson, Stephen T. (frus)"
"Johnson, Stewart (briefing)"
"Johnson, Stewart (frus)"
"Johnson, Tom (briefing)"
"Johnson, Tom (frus)"
"Johnson, Tom; Johnson, W. Thomas; Johnson, W. Thomas (Tom) (clinton)"
"Johnson, Ural Alexis (briefing)"
"Johnson, Ural Alexis (frus)"
"Johnson, Valdemar N. L. (clinton)"
"Johnson, Valdemar N. L. (frus)"
"Johnson, W. Thomas, Jr. (briefing)"
"Johnson, W. Thomas, Jr. (frus)"
"Johnson-Sirleaf, Ellen (briefing)"
"Johnson-Sirleaf, Ellen (cpdoc)"
"Johnson-Sirleaf, Ellen (frus)"
"Johnston, Amy (clinton)"
"Johnston, Charles (briefing)"
"Johnston, Charles (frus)"
"Johnston, Eric (cpdoc)"
"Johnston, Eric A. (briefing)"
"Johnston, Eric A. (frus)"
"Johnston, Eric; Johnston, Eric A. (clinton)"
"Johnston, Ernest (clinton)"
"Johnston, Ernest B., Jr. (frus)"
"Johnston, Ernest B., Jr.; Johnston, Ernst B. (clinton)"
"Johnston, James D. (briefing)"
"Johnston, James D. (frus)"
"Johnston, James R. (frus)"
"Johnston, Sir Charles (clinton)"
"Johnston, T (cabinet)"
"Johnston, Todd (clinton)"
"Johnston-Gardner, Sarah (clinton)"
"Johnstone, H (cabinet)"
"Johnstone, Kari (clinton)"
"Johnstone, L. Craig (briefing)"
"Johnstone, L. Craig (frus)"
"Johnstone, T (cabinet)"
"Jolles, Paul R. (clinton)"
"Jolles, Paul Rudolf (briefing)"
"Jolles, Paul Rudolf (frus)"
"Jomard, Abdul Jabar (briefing)"
"Jomard, Abdul Jabar (clinton)"
"Jomard, Abdul Jabar (frus)"
"Jonasson, Hermann (briefing)"
"Jonasson, Hermann (clinton)"
"Jonasson, Hermann (frus)"
"Jonathan, Chief Leabua (clinton)"
"Jonathan, Goodluck (briefing)"
"Jonathan, Goodluck (frus)"
"Jonathan, Leabua (briefing)"
"Jonathan, Leabua (frus)"
"Jones, A (cabinet)"
"Jones, A. Elizabeth (briefing)"
"Jones, A. Elizabeth (frus)"
"Jones, Anthony (clinton)"
"Jones, Beth (clinton)"
"Jones, Betty Jane (frus)"
"Jones, C (cabinet)"
"Jones, Curtis F. (frus)"
"Jones, D (cabinet)"
"Jones, David C. (briefing)"
"Jones, David C. (cpdoc)"
"Jones, David C. (frus)"
"Jones, David C.; Jones, General David C. (clinton)"
"Jones, David T. (cpdoc)"
"Jones, David T. (frus)"
"Jones, Deborah Kay (briefing)"
"Jones, Deborah Kay (frus)"
"Jones, Douglas (clinton)"
"Jones, Duane (clinton)"
"Jones, E (cabinet)"
"Jones, Ellis O. (Ollie) (briefing)"
"Jones, Ellis O. (Ollie) (clinton)"
"Jones, Ellis O. (Ollie) (frus)"
"Jones, G. Lewis, Jr. (briefing)"
"Jones, G. Lewis, Jr. (frus)"
"Jones, George F. (frus)"
"Jones, George Fleming (frus)"
"Jones, George Lewis (briefing)"
"Jones, George Lewis (frus)"
"Jones, George Wallace (briefing)"
"Jones, George Wallace (frus)"
"Jones, Harold Armstrong (frus)"
"Jones, Howard Palfrey (briefing)"
"Jones, Howard Palfrey (frus)"
"Jones, J (cabinet)"
"Jones, J. Jefferson, III (briefing)"
"Jones, J. Jefferson, III (frus)"
"Jones, J. Wesley (clinton)"
"Jones, James Robert (briefing)"
"Jones, James Robert (frus)"
"Jones, Jasmin (clinton)"
"Jones, Jehu Glancy (briefing)"
"Jones, Jehu Glancy (frus)"
"Jones, Jerry (clinton)"
"Jones, Jerry H. (briefing)"
"Jones, Jerry H. (frus)"
"Jones, Jim R.; Jones, Jim (clinton)"
"Jones, John (clinton)"
"Jones, John E. (briefing)"
"Jones, John E. (frus)"
"Jones, John Edward (frus)"
"Jones, John Henry (briefing)"
"Jones, John Henry (frus)"
"Jones, John Melvin (frus)"
"Jones, John W.; Jones, John Wesley; Jones, Roger W.; Jones, Curtis F.; Jones, G. Lewis; Jones, G. Lewis, Jr.; Jones, James R. (Jim) (clinton)"
"Jones, John Wesley (briefing)"
"Jones, John Wesley (frus)"
"Jones, Joseph Russell (briefing)"
"Jones, Joseph Russell (frus)"
"Jones, Judson C. (frus)"
"Jones, K (cabinet)"
"Jones, Kali (clinton)"
"Jones, Kern-Ann (clinton)"
"Jones, Kerri-Ann (briefing)"
"Jones, Kerri-Ann (frus)"
"Jones, Kirby (frus)"
"Jones, Malika (frus)"
"Jones, Marshall Paul (frus)"
"Jones, Natalie (clinton)"
"Jones, Norvill (clinton)"
"Jones, Norvill (frus)"
"Jones, Owen T. (clinton)"
"Jones, Owen Thomas (briefing)"
"Jones, Owen Thomas (frus)"
"Jones, Paul (clinton)"
"Jones, Paul W. (briefing)"
"Jones, Paul W. (frus)"
"Jones, Paul W., Jr. (briefing)"
"Jones, Paul W., Jr. (frus)"
"Jones, Quentin (briefing)"
"Jones, Quentin (clinton)"
"Jones, Quentin (frus)"
"Jones, Richard B. (frus)"
"Jones, Richard Henry (briefing)"
"Jones, Richard Henry (frus)"
"Jones, Richard Lee (briefing)"
"Jones, Richard Lee (frus)"
"Jones, Richard Lee; Jones, William G.; Jones, Howard D.; Jones, Howard P. (clinton)"
"Jones, Roger Warren (frus)"
"Jones, Stuart (clinton)"
"Jones, Stuart E. (briefing)"
"Jones, Stuart E. (frus)"
"Jones, T (cabinet)"
"Jones, Thomas O. (clinton)"
"Jones, Thomas O. (frus)"
"Jones, Thomas Sambola (briefing)"
"Jones, Thomas Sambola (frus)"
"Jones, W (cabinet)"
"Jones, W. Alton (briefing)"
"Jones, W. Alton (clinton)"
"Jones, W. Alton (frus)"
"Jones, William Bowdoin (frus)"
"Jones, William G. (frus)"
"Jones, William G.; Jones, J. Jefferson, III; Jones, J. Jeffferson, III; Jones, J. Wesley (clinton)"
"Jones, William M. (briefing)"
"Jones, William M. (frus)"
"Jones-Johnson, Carolyn (clinton)"
"Jong, Erica (clinton)"
"Jong, Petrus J. S. de (briefing)"
"Jong, Petrus J. S. de (frus)"
"Jonnes, Lloyd (clinton)"
"Jonnes, Lloyd (frus)"
"Jonsson, Eysteinn (briefing)"
"Jonsson, Eysteinn (clinton)"
"Jonsson, Eysteinn (frus)"
"Jooste, G. P. (briefing)"
"Jooste, G. P. (clinton)"
"Jooste, G. P. (frus)"
"Jopling, M (cabinet)"
"Jordaan, Jan Ruiter (briefing)"
"Jordaan, Jan Ruiter (frus)"
"Jordan, Amos A., Jr. (briefing)"
"Jordan, Amos A., Jr. (frus)"
"Jordan, Amos; Jordan, Amos A.; Jordan, Colonel Amos A., Jr. (clinton)"
"Jordan, Brannon (clinton)"
"Jordan, Dada (clinton)"
"Jordan, David C. (briefing)"
"Jordan, David C. (cpdoc)"
"Jordan, David C. (frus)"
"Jordan, Hamilton M. (briefing)"
"Jordan, Hamilton M. (cpdoc)"
"Jordan, Hamilton M. (frus)"
"Jordan, Hamilton; Jordan, Hamilton M. (clinton)"
"Jordan, Leonard B. (briefing)"
"Jordan, Leonard B. (clinton)"
"Jordan, Leonard B. (frus)"
"Jordan, Mosina H. (briefing)"
"Jordan, Mosina H. (frus)"
"Jordan, Robert W. (briefing)"
"Jordan, Robert W. (frus)"
"Jordan, Stanley Rupert (frus)"
"Jordan, William J. (briefing)"
"Jordan, William J. (frus)"
"Jordana, Francisco GÃ³mez (briefing)"
"Jordana, Francisco Gómez (frus)"
"Jorden, William John (briefing)"
"Jorden, William John (frus)"
"Jorden, William; Jorden, William J. (clinton)"
"Jordon, William Joseph (briefing)"
"Jordon, William Joseph (frus)"
"Jordão, Miranda (cpdoc)"
"Jorge Correia, Antônio (cpdoc)"
"Jorgensen, Gordon L. (frus)"
"Jorgensen, Vidar (clinton)"
"Jorgenson, Raymond C. (frus)"
"Josef Strauss, Franz (cpdoc)"
Joseph II (briefing)
Joseph II (frus)
"Joseph, Geri M. (briefing)"
"Joseph, Geri M. (frus)"
"Joseph, James A. (briefing)"
"Joseph, James A. (frus)"
"Joseph, Jofi (clinton)"
"Joseph, K (cabinet)"
"Joseph, Robert (briefing)"
"Joseph, Robert (frus)"
"Josh, Ajit (clinton)"
"Joshi, Ajit (clinton)"
"Josif, Harold G. (clinton)"
"Josif, Harold George (briefing)"
"Josif, Harold George (frus)"
"Jospin, Lionel (briefing)"
"Jospin, Lionel (frus)"
"José Silveira, Victor (cpdoc)"
"Jouejati, Rafic (clinton)"
"Jouejati, Rafic (frus)"
"Jouhaux, LÃ©on (briefing)"
"Jouhaux, Léon (frus)"
"Joukhdar, Muhammad (frus)"
"Journes, Frederic (clinton)"
"Journiac, Rene (briefing)"
"Journiac, Rene (clinton)"
"Journiac, Rene (frus)"
"Jova, Joseph J.; Jova, Joseph John (clinton)"
"Jova, Joseph John (briefing)"
"Jova, Joseph John (frus)"
"JovanoviÄ, Arso R. (briefing)"
"Jovanović, Arso R. (frus)"
"Jovanović, Radoś (frus)"
"Jovic, Borisav (briefing)"
"Jovic, Borisav (frus)"
"Jowett, F (cabinet)"
Jowitt (cabinet)
"Jowitt, W (cabinet)"
"Jowitt, William (briefing)"
"Jowitt, William (frus)"
"Joxe, Louis (briefing)"
"Joxe, Louis (clinton)"
"Joxe, Louis (frus)"
"Joy, C. Turner (briefing)"
"Joy, C. Turner (frus)"
"Joy, Michael G. L. (briefing)"
"Joy, Michael G. L. (clinton)"
"Joy, Michael G. L. (frus)"
"Joy, Vice Admiral C. Turner (clinton)"
"Joyce, J. Wallace (frus)"
"Joyce, John M. (frus)"
"Joyce, Kenyon A. (briefing)"
"Joyce, Kenyon A. (frus)"
"Joyce, Robert P. (clinton)"
"Joyce, Robert P. (frus)"
"Joyce, Sean (clinton)"
"Joynson-Hicks, W (cabinet)"
"Jozan, Edouard Albert (briefing)"
"Jozan, Edouard Albert (frus)"
"Jozan, Vice Admiral Edouard Albert (clinton)"
Juan Carlos (clinton)
Juan Carlos I (briefing)
Juan Carlos I (cpdoc)
Juan Carlos I (frus)
"Juan Vignes, Alberto (cpdoc)"
"Judah, Noble Brandon (briefing)"
"Judah, Noble Brandon (frus)"
"Judd, Dr. Walter (clinton)"
"Judd, Frank (briefing)"
"Judd, Frank (frus)"
"Judd, Frank; Judd, Thomas M. (clinton)"
"Judd, Norman Buel (briefing)"
"Judd, Norman Buel (frus)"
"Judd, Thomas M. (frus)"
"Judd, Walter H. (briefing)"
"Judd, Walter H. (frus)"
"Judd, Walter; Judd, Walter H. (clinton)"
"Judeh, Nasser (clinton)"
"Jughman, Yahya (frus)"
"Jugnauth, Aneerood (briefing)"
"Jugnauth, Aneerood (frus)"
"Juin, Alfonse Pierre; Juin, General Alphonse P. (clinton)"
"Juin, Alphonse Pierre (briefing)"
"Juin, Alphonse Pierre (frus)"
"Jukic, Paul (clinton)"
Juliana (briefing)
Juliana (clinton)
Juliana (frus)
"July, Pierre (briefing)"
"July, Pierre (clinton)"
"July, Pierre (frus)"
"Juma, Midhat (clinton)"
"Juma, Midhat (frus)"
"Juma, Saad (briefing)"
"Juma, Saad (clinton)"
"Juma, Saad (frus)"
"Jumblatt, Kamal (briefing)"
"Jumblatt, Kamal (clinton)"
"Jumblatt, Kamal (frus)"
"Jumelle, Clement; Jumelle, Ducasse (clinton)"
"Jumelle, ClÃ©ment (briefing)"
"Jumelle, Clément (frus)"
"Jumelle, Ducasse (frus)"
"Jumelle, Gaston (clinton)"
"Jumelle, Gaston (frus)"
"Juncker, Jean-Claude (briefing)"
"Juncker, Jean-Claude (frus)"
"Junejo, Muhammad Khan (briefing)"
"Junejo, Muhammad Khan (frus)"
"Jung, Kim Dae (briefing)"
"Jung, Kim Dae (frus)"
"Jung, Nawab Ali Javar; Jung, Nawab Ali Yavar (clinton)"
"Jung, Nawab Ali Yavar (briefing)"
"Jung, Nawab Ali Yavar (frus)"
"Jung, Thomas (clinton)"
"Jungers, Frank (clinton)"
"Jungers, Frank (frus)"
"Junior, H. Oliveira (cpdoc)"
"Junz, Helen (clinton)"
"Junz, Helen B. (frus)"
"Jurgensen, Jean (briefing)"
"Jurgensen, Jean (clinton)"
"Jurgensen, Jean (frus)"
"Jurich, Anthony J. (clinton)"
"Jurich, Anthony J. (cpdoc)"
"Jurich, Anthony J. (frus)"
"Juska, Monika (clinton)"
"Jusserand, Jean Adrien Antoine Jules (briefing)"
"Jusserand, Jean Adrien Antoine Jules (frus)"
"JÃ³hannesson, Ãlafur (briefing)"
"JÃ¸rgensen, Anker (briefing)"
"Jóhannesson, Ólafur (frus)"
"Jørgensen, Anker (frus)"
"Kabbani, Sabah (clinton)"
"Kabbani, Sabah (kissinger)"
"Kabila, Joseph (briefing)"
"Kabila, Joseph (frus)"
"Kabir, Humayun (clinton)"
"Kabra, Patricia (clinton)"
"Kabua, Amata (briefing)"
"Kabua, Amata (frus)"
"Kabua, Imata (briefing)"
"Kabua, Imata (frus)"
"Kaczorowski, Michal (briefing)"
"Kaczorowski, Michal (frus)"
"Kaczynski, Lech (briefing)"
"Kaczynski, Lech (frus)"
"Kadar, Janos (briefing)"
"Kadar, Janos (clinton)"
"Kadar, Janos (frus)"
"Kaddumi, Faruq (briefing)"
"Kaddumi, Faruq (frus)"
"Kadkhodai, Aaron (clinton)"
"Kaduma, Ibrahim M. (briefing)"
"Kaduma, Ibrahim M. (clinton)"
"Kaduma, Ibrahim M. (frus)"
"Kaeuper, David H. (frus)"
"Kafka, Alexandre (cpdoc)"
"Kagame, Paul (briefing)"
"Kagame, Paul (frus)"
"Kagan, Edgard (clinton)"
"Kagan, Robert (clinton)"
"Kaganovich, Lazar Moiseyevich (briefing)"
"Kaganovich, Lazar Moiseyevich (frus)"
"Kaganovich, Lazar; Kaganovich, Lazar Moiseyevich (clinton)"
"Kagey, Charles Lemuel (briefing)"
"Kagey, Charles Lemuel (frus)"
"Kahan, Alexandra (clinton)"
"Kahan, Jerome H. (cpdoc)"
"Kahan, Jerome H. (frus)"
"Kahane, Meir D. (briefing)"
"Kahane, Meir D. (frus)"
"Kahn, Carol (clinton)"
"Kahn, Julius (briefing)"
"Kahn, Julius (frus)"
